epoch: 0	train ppl: 569.2210580213106	val ppl: 346.37756757450126	best val: 346.37756757450126	time (s) spent in epoch: 390.5849840641022
epoch: 1	train ppl: 344.275588764855	val ppl: 273.8043142769021	best val: 273.8043142769021	time (s) spent in epoch: 392.599502325058
epoch: 2	train ppl: 284.8175178713812	val ppl: 240.6753942915861	best val: 240.6753942915861	time (s) spent in epoch: 393.27250480651855
epoch: 3	train ppl: 249.94959719131904	val ppl: 222.01277583869617	best val: 222.01277583869617	time (s) spent in epoch: 393.1340835094452
epoch: 4	train ppl: 226.3047110075055	val ppl: 206.27293194322735	best val: 206.27293194322735	time (s) spent in epoch: 391.69968700408936
epoch: 5	train ppl: 208.27460255647702	val ppl: 194.7108260802587	best val: 194.7108260802587	time (s) spent in epoch: 392.44184279441833
epoch: 6	train ppl: 193.93115785061323	val ppl: 186.29430705358578	best val: 186.29430705358578	time (s) spent in epoch: 393.10331773757935
epoch: 7	train ppl: 181.98136787234884	val ppl: 179.74539730687306	best val: 179.74539730687306	time (s) spent in epoch: 393.1901261806488
epoch: 8	train ppl: 171.46712166013182	val ppl: 174.68688824187882	best val: 174.68688824187882	time (s) spent in epoch: 393.1704728603363
epoch: 9	train ppl: 162.71390095713912	val ppl: 170.4444066991703	best val: 170.4444066991703	time (s) spent in epoch: 393.2246549129486
epoch: 10	train ppl: 155.1485386830429	val ppl: 166.62991969486364	best val: 166.62991969486364	time (s) spent in epoch: 393.2409782409668
epoch: 11	train ppl: 148.36790797859834	val ppl: 163.45359386703637	best val: 163.45359386703637	time (s) spent in epoch: 393.30213356018066
epoch: 12	train ppl: 142.48740857362338	val ppl: 161.59910710578774	best val: 161.59910710578774	time (s) spent in epoch: 393.3079333305359
epoch: 13	train ppl: 136.58524237709636	val ppl: 159.6628543427546	best val: 159.6628543427546	time (s) spent in epoch: 393.3131809234619
epoch: 14	train ppl: 131.82763845603668	val ppl: 158.65782523326914	best val: 158.65782523326914	time (s) spent in epoch: 393.2432556152344
epoch: 15	train ppl: 127.05878246125718	val ppl: 160.33658583442156	best val: 158.65782523326914	time (s) spent in epoch: 393.2784390449524
epoch: 16	train ppl: 122.92445079379588	val ppl: 158.82771889212654	best val: 158.65782523326914	time (s) spent in epoch: 393.36337327957153
epoch: 17	train ppl: 119.00211155054953	val ppl: 156.07105987209724	best val: 156.07105987209724	time (s) spent in epoch: 390.35067892074585
epoch: 18	train ppl: 115.11776654236976	val ppl: 153.5876003199441	best val: 153.5876003199441	time (s) spent in epoch: 389.7371349334717
epoch: 19	train ppl: 111.45897849823733	val ppl: 155.0365224571192	best val: 153.5876003199441	time (s) spent in epoch: 389.7560443878174
epoch: 20	train ppl: 108.4491600923651	val ppl: 154.28261942188846	best val: 153.5876003199441	time (s) spent in epoch: 386.91447138786316
epoch: 21	train ppl: 105.46120957500291	val ppl: 153.12164492656305	best val: 153.12164492656305	time (s) spent in epoch: 386.5263919830322
epoch: 22	train ppl: 102.68270825540226	val ppl: 151.91282100531882	best val: 151.91282100531882	time (s) spent in epoch: 386.36383843421936
epoch: 23	train ppl: 99.75023215517179	val ppl: 152.3126745375469	best val: 151.91282100531882	time (s) spent in epoch: 386.49865341186523
epoch: 24	train ppl: 97.61864240599762	val ppl: 151.39867287766117	best val: 151.39867287766117	time (s) spent in epoch: 386.4723129272461
epoch: 25	train ppl: 94.86151307960158	val ppl: 154.01742520134758	best val: 151.39867287766117	time (s) spent in epoch: 386.52204871177673
epoch: 26	train ppl: 92.53283975468038	val ppl: 152.05615513214977	best val: 151.39867287766117	time (s) spent in epoch: 386.5493505001068
epoch: 27	train ppl: 90.48968183762629	val ppl: 154.16718728294765	best val: 151.39867287766117	time (s) spent in epoch: 386.39238929748535
epoch: 28	train ppl: 88.38564603226519	val ppl: 155.18446706428105	best val: 151.39867287766117	time (s) spent in epoch: 386.246248960495
epoch: 29	train ppl: 86.31741513318418	val ppl: 153.65065783633347	best val: 151.39867287766117	time (s) spent in epoch: 386.14793634414673
epoch: 30	train ppl: 84.48125983655443	val ppl: 155.58233765076545	best val: 151.39867287766117	time (s) spent in epoch: 386.2105360031128
epoch: 31	train ppl: 82.65672378453735	val ppl: 155.62305139150655	best val: 151.39867287766117	time (s) spent in epoch: 386.16758489608765
epoch: 32	train ppl: 80.86447736957439	val ppl: 155.5271307962996	best val: 151.39867287766117	time (s) spent in epoch: 386.2442786693573
epoch: 33	train ppl: 79.22318391566505	val ppl: 157.5046914619034	best val: 151.39867287766117	time (s) spent in epoch: 386.2184419631958
epoch: 34	train ppl: 77.61758523738993	val ppl: 158.1081435628378	best val: 151.39867287766117	time (s) spent in epoch: 386.19894433021545
epoch: 35	train ppl: 76.16624715182918	val ppl: 159.05828769857146	best val: 151.39867287766117	time (s) spent in epoch: 386.2084264755249
epoch: 36	train ppl: 74.58482365511504	val ppl: 161.2216761581065	best val: 151.39867287766117	time (s) spent in epoch: 386.0060739517212
epoch: 37	train ppl: 73.14967548996238	val ppl: 161.60993280006682	best val: 151.39867287766117	time (s) spent in epoch: 385.8741788864136
epoch: 38	train ppl: 71.75758601377588	val ppl: 162.13984680217322	best val: 151.39867287766117	time (s) spent in epoch: 388.1968352794647
epoch: 39	train ppl: 70.43257559907711	val ppl: 163.8240125283294	best val: 151.39867287766117	time (s) spent in epoch: 388.29930901527405
