epoch: 0	train ppl: 619.7920756587644	val ppl: 338.27293194635695	best val: 338.27293194635695	time (s) spent in epoch: 60.733208656311035
epoch: 1	train ppl: 291.2674100482277	val ppl: 247.9058461265843	best val: 247.9058461265843	time (s) spent in epoch: 60.191834449768066
epoch: 2	train ppl: 223.64356380482525	val ppl: 210.1938143852241	best val: 210.1938143852241	time (s) spent in epoch: 60.14625310897827
epoch: 3	train ppl: 187.7440520212406	val ppl: 189.88993460268233	best val: 189.88993460268233	time (s) spent in epoch: 60.200132608413696
epoch: 4	train ppl: 164.4976919627469	val ppl: 176.28843608736682	best val: 176.28843608736682	time (s) spent in epoch: 60.1169171333313
epoch: 5	train ppl: 147.3352142906085	val ppl: 166.27974089118496	best val: 166.27974089118496	time (s) spent in epoch: 60.16601538658142
epoch: 6	train ppl: 133.73499242015515	val ppl: 158.59511109796367	best val: 158.59511109796367	time (s) spent in epoch: 60.19402718544006
epoch: 7	train ppl: 122.58467829966223	val ppl: 152.72404351746894	best val: 152.72404351746894	time (s) spent in epoch: 60.12104368209839
epoch: 8	train ppl: 113.2240378840287	val ppl: 148.3716655735045	best val: 148.3716655735045	time (s) spent in epoch: 60.178958892822266
epoch: 9	train ppl: 104.9016335215829	val ppl: 144.78484726708646	best val: 144.78484726708646	time (s) spent in epoch: 60.23477745056152
epoch: 10	train ppl: 97.94116229072529	val ppl: 141.44554080864663	best val: 141.44554080864663	time (s) spent in epoch: 60.19874048233032
epoch: 11	train ppl: 91.63375382406461	val ppl: 139.61329473141416	best val: 139.61329473141416	time (s) spent in epoch: 60.147475719451904
epoch: 12	train ppl: 86.11885367084437	val ppl: 137.85075107055698	best val: 137.85075107055698	time (s) spent in epoch: 60.193516969680786
epoch: 13	train ppl: 81.19422298317755	val ppl: 136.5226323711787	best val: 136.5226323711787	time (s) spent in epoch: 60.195310831069946
epoch: 14	train ppl: 76.69229703083981	val ppl: 135.97372090844493	best val: 135.97372090844493	time (s) spent in epoch: 60.183050870895386
epoch: 15	train ppl: 72.60172768837901	val ppl: 134.98471229670793	best val: 134.98471229670793	time (s) spent in epoch: 60.13610100746155
epoch: 16	train ppl: 68.99736960400136	val ppl: 135.24380136148935	best val: 134.98471229670793	time (s) spent in epoch: 60.071773529052734
epoch: 17	train ppl: 65.67247706605562	val ppl: 134.76319857418895	best val: 134.76319857418895	time (s) spent in epoch: 60.144535303115845
epoch: 18	train ppl: 62.57809860160138	val ppl: 134.8361515193994	best val: 134.76319857418895	time (s) spent in epoch: 60.048943519592285
epoch: 19	train ppl: 59.69236573873208	val ppl: 135.30418485524464	best val: 134.76319857418895	time (s) spent in epoch: 60.07599687576294
epoch: 20	train ppl: 57.09051573785448	val ppl: 136.30515722107822	best val: 134.76319857418895	time (s) spent in epoch: 60.06694221496582
epoch: 21	train ppl: 54.617858348896235	val ppl: 137.24929714246178	best val: 134.76319857418895	time (s) spent in epoch: 60.031622886657715
epoch: 22	train ppl: 52.319818911412895	val ppl: 138.80075897960896	best val: 134.76319857418895	time (s) spent in epoch: 60.03345823287964
epoch: 23	train ppl: 50.21969482972114	val ppl: 139.65456973039932	best val: 134.76319857418895	time (s) spent in epoch: 59.99519729614258
epoch: 24	train ppl: 48.209690534061515	val ppl: 141.39620387709448	best val: 134.76319857418895	time (s) spent in epoch: 60.04497218132019
epoch: 25	train ppl: 46.284921137313816	val ppl: 143.13263469889958	best val: 134.76319857418895	time (s) spent in epoch: 59.99248719215393
epoch: 26	train ppl: 44.616010821447844	val ppl: 144.86102572155076	best val: 134.76319857418895	time (s) spent in epoch: 60.04414749145508
epoch: 27	train ppl: 42.949881041419665	val ppl: 147.01380112291884	best val: 134.76319857418895	time (s) spent in epoch: 60.00888252258301
epoch: 28	train ppl: 41.417119176251504	val ppl: 148.58938755905692	best val: 134.76319857418895	time (s) spent in epoch: 60.078898191452026
epoch: 29	train ppl: 39.98534740849132	val ppl: 150.98971476370545	best val: 134.76319857418895	time (s) spent in epoch: 60.03890371322632
epoch: 30	train ppl: 38.590577246786204	val ppl: 153.0428190673475	best val: 134.76319857418895	time (s) spent in epoch: 60.04545331001282
epoch: 31	train ppl: 37.228831424947806	val ppl: 155.80872062781455	best val: 134.76319857418895	time (s) spent in epoch: 60.04336404800415
epoch: 32	train ppl: 36.04859526464598	val ppl: 158.61874773556434	best val: 134.76319857418895	time (s) spent in epoch: 60.006505727767944
epoch: 33	train ppl: 34.863501881175104	val ppl: 160.99456026120018	best val: 134.76319857418895	time (s) spent in epoch: 60.08736300468445
epoch: 34	train ppl: 33.696520837873756	val ppl: 164.8101399870931	best val: 134.76319857418895	time (s) spent in epoch: 59.99243450164795
epoch: 35	train ppl: 32.73808799349933	val ppl: 166.98324155523704	best val: 134.76319857418895	time (s) spent in epoch: 59.940770864486694
epoch: 36	train ppl: 31.723043436457314	val ppl: 170.16852883799754	best val: 134.76319857418895	time (s) spent in epoch: 60.00101923942566
epoch: 37	train ppl: 30.772478119728884	val ppl: 173.2367828590614	best val: 134.76319857418895	time (s) spent in epoch: 60.04673767089844
epoch: 38	train ppl: 29.881741478609666	val ppl: 176.38208638217654	best val: 134.76319857418895	time (s) spent in epoch: 60.03995895385742
epoch: 39	train ppl: 29.036773267048076	val ppl: 179.57231284101044	best val: 134.76319857418895	time (s) spent in epoch: 60.045302867889404
